日付,氏名,所属店舗,シフト区分,備考
2026/08/19,關 雄弥,厚木店,出勤,全社指定一斉休暇
2026/08/20,關 雄弥,厚木店,出勤,全社指定一斉休暇
2026/08/21,關 雄弥,厚木店,出勤,全社指定一斉休暇
2026/08/22,關 雄弥,厚木店,休日,全社指定一斉休暇
2026/08/23,關 雄弥,厚木店,休日,全社指定一斉休暇
2026/08/24,關 雄弥,厚木店,休日,
2026/08/25,關 雄弥,厚木店,出勤,
2026/08/26,關 雄弥,厚木店,休日,
2026/08/27,關 雄弥,厚木店,出勤,
2026/08/28,關 雄弥,厚木店,出勤,
2026/08/29,關 雄弥,厚木店,休日,
2026/08/30,關 雄弥,厚木店,出勤,
2026/08/31,關 雄弥,厚木店,出勤,
